dataset,test,test,test,test,test,test,test,train,train,train,train,train,train,train
max_depth,1,2,3,4,5,6,7,1,2,3,4,5,6,7
1,0.7735011102886751,0.7890451517394522,0.7764618800888231,0.8038490007401925,0.8297557364914878,0.850481125092524,0.844559585492228,0.7527757216876387,0.767086109055021,0.7772020725388601,0.8013816925734024,0.8258080434246238,0.8566493955094991,0.8716999753269183
3,0.7912657290895633,0.8038490007401925,0.8349370836417469,0.8386380458919319,0.8423390081421169,0.8571428571428571,0.8556624722427831,0.7764618800888231,0.7804095731556872,0.8263015050579817,0.844806316308907,0.8650382432765853,0.8889711324944486,0.9106834443622008
5,0.7964470762398224,0.8201332346410066,0.848260547742413,0.8564026646928201,0.8586232420429312,0.8689859363434493,0.8726868985936344,0.7799161115223291,0.7996545768566494,0.845546508758944,0.8623242042931162,0.8865038243276585,0.9193190229459659,0.9358499876634592
7,0.8053293856402665,0.8460399703923019,0.8623242042931162,0.8630643967431533,0.8712065136935603,0.8660251665433013,0.8808290155440415,0.7964470762398224,0.8258080434246238,0.8556624722427831,0.8749074759437454,0.9099432519121639,0.9390574882802862,0.9691586479151246
9,0.8082901554404145,0.8564026646928201,0.8578830495928942,0.8726868985936344,0.8815692079940785,0.8667653589933383,0.8756476683937824,0.7966938070565014,0.8309893905748829,0.8655317049099432,0.8956328645447816,0.922773254379472,0.9516407599309153,0.9884036516160869
11,0.7986676535899334,0.8615840118430792,0.8630643967431533,0.8786084381939304,0.8778682457438934,0.8771280532938565,0.8793486306439674,0.7986676535899334,0.8378978534418949,0.8697261287934863,0.9055020972119417,0.929434986429805,0.9716259560819146,0.996052306933136
13,0.8119911176905995,0.8704663212435233,0.8667653589933383,0.8786084381939304,0.8808290155440415,0.8793486306439674,0.8815692079940785,0.8073032321736985,0.8487540093757711,0.8783617073772514,0.9133974833456698,0.9417715272637552,0.9888971132494448,1.0
15,0.8208734270910437,0.8608438193930422,0.8630643967431533,0.8741672834937083,0.8919319022945966,0.8749074759437454,0.8823094004441154,0.8063163089069825,0.850234394275845,0.8818159388107575,0.9158647915124599,0.9494201825808043,0.99506538366642,1.0
17,0.8105107327905255,0.8556624722427831,0.8675055514433753,0.8704663212435233,0.8874907475943745,0.8763878608438194,0.8867505551443375,0.8075499629903775,0.8514680483592401,0.8902047865778435,0.921539600296077,0.9597828768813225,0.998766345916605,1.0
19,0.8230940044411547,0.8667653589933383,0.8719467061435974,0.8734270910436713,0.8815692079940785,0.8756476683937824,0.8904515173945226,0.8102640019738465,0.8596101653096472,0.8924253639279546,0.9314088329632371,0.9647174932149025,1.0,1.0
21,0.8149518874907475,0.8645447816432272,0.8726868985936344,0.8749074759437454,0.8763878608438194,0.8771280532938565,0.8904515173945226,0.8119911176905995,0.8605970885763632,0.8966197878114976,0.9400444115470022,0.9728596101653096,1.0,1.0
23,0.8245743893412287,0.8689859363434493,0.8645447816432272,0.8778682457438934,0.8763878608438194,0.8793486306439674,0.8941524796447077,0.8211201579077226,0.8628176659264742,0.8976067110782137,0.9467061435973353,0.9790278805822847,1.0,1.0
25,0.8267949666913398,0.8623242042931162,0.8652849740932642,0.8845299777942265,0.8823094004441154,0.8800888230940045,0.9015544041450777,0.8216136195410807,0.8598568961263262,0.9042684431285467,0.9496669133974833,0.9844559585492227,1.0,1.0
27,0.8282753515914137,0.8615840118430792,0.8682457438934122,0.8852701702442635,0.8860103626943006,0.8793486306439674,0.9067357512953368,0.8250678509745867,0.8601036269430051,0.9069824821120158,0.9543547989143845,0.9911176905995559,1.0,1.0
29,0.8245743893412287,0.8615840118430792,0.8645447816432272,0.8837897853441895,0.8830495928941525,0.8852701702442635,0.9067357512953368,0.8164322723908216,0.8635578583765112,0.9114236368122378,0.9585492227979274,0.996052306933136,1.0,1.0
31,0.8245743893412287,0.8608438193930422,0.8689859363434493,0.8763878608438194,0.8845299777942265,0.8919319022945966,0.9030347890451518,0.8188995805576117,0.8702195904268443,0.9146311374290649,0.9659511472982976,0.9985196150999259,1.0,1.0
33,0.8245743893412287,0.8615840118430792,0.8726868985936344,0.8749074759437454,0.8823094004441154,0.8897113249444856,0.9045151739452257,0.8193930421909696,0.8707130520602023,0.919812484579324,0.9718726868985936,0.999013076733284,1.0,1.0
35,0.8245743893412287,0.8623242042931162,0.8630643967431533,0.8704663212435233,0.8919319022945966,0.8882309400444115,0.9133974833456698,0.8201332346410066,0.8707130520602023,0.924500370096225,0.9740932642487047,1.0,1.0,1.0
37,0.8304959289415248,0.8652849740932642,0.8638045891931903,0.8719467061435974,0.8882309400444115,0.8897113249444856,0.9141376757957069,0.8233407352578337,0.8729336294103134,0.927461139896373,0.9790278805822847,1.0,1.0,1.0
